app_name,price,id,developer,principal_genre,principal_tag,principal_spec,release_year
Vaporwave Simulator,0.99,766850,ETGgames,Casual,Casual,Single-player,2018
Tactics Forever,8.866131486539212,413120,ProjectorGames,Action,Casual,Online Multi-Player,2018
Christmas Santa Troubles,8.866131486539212,773120,Unknown Indie Devs,Adventure,Adventure,Single-player,2017
Kingdom Watcher,8.866131486539212,680970,Sin dato,Sin dato,Action,Single-player,2017
Underdone - Soundtrack,8.99,754360,The Commander,Action,Action,Single-player,2018
Bitcoin Clicker,0.99,716110,"lalalaZero,Urbanoff",Adventure,Adventure,Single-player,2018
Disciples II: Gallean's Return,6.99,1640,Strategy First,Strategy,Turn-Based Strategy,Single-player,2006
Disciples II: Rise of the Elves,6.99,1630,Strategy First,Strategy,Strategy,Single-player,2006
The Ship: Murder Party,9.99,2400,Outerlight Ltd.,Action,Multiplayer,Single-player,2006
United Tactics,8.866131486539212,662570,Zachary M Thomas,Strategy,Strategy,Multi-player,2017
Life of Rome,8.866131486539212,381620,Breakout Studio,Indie,Early Access,Multi-player,2017
Idle Adventure,8.866131486539212,714020,"zha7,Phaedruns,Yingke Wu",Adventure,Early Access,MMO,2017
Panoptic,8.866131486539212,541930,Sin dato,Sin dato,Early Access,Multi-player,2017
Souland,7.99,759920,Ultraint,Action,Early Access,Single-player,2017
Darkness and a Crowd,8.866131486539212,659780,Seth Albertus,Action,Action,Single-player,2018
TAROTICA VOO DOO,10.99,603280,TPM.CO SOFT WORKS,Action,Indie,Single-player,2017
Chronicles of Vinland,9.99,753110,Wonderbox Games,Casual,Early Access,Single-player,2017
Orbitality,9.99,753100,Wonderbox Games,Action,Indie,Single-player,2017
Medicalholodeck Personal Version,29.99,769350,Sin dato,Sin dato,Education,Tracked Motion Controllers,2017
Atomic Adam: Episode 1,1.99,764280,Mad Unicorn Games,Action,Action,Single-player,2017
Golf Masters,8.866131486539212,374970,Sin dato,Sin dato,Simulation,Single-player,2017
Mirt. Tales of the Cold Land. Chapter 2,0.99,758550,Emanon Studios,Adventure,Adventure,Single-player,2017
Advent Rising,9.99,3800,GlyphX Games,Action,Action,Single-player,2005
DEFCON,9.99,1520,Introversion Software,Indie,Strategy,Single-player,2006
The Ship: Single Player,9.99,2420,Outerlight Ltd.,Action,Action,Single-player,2006
Garry's Mod,9.99,4000,Facepunch Studios,Indie,Sandbox,Single-player,2006
RACE - The WTCC Game,39.99,4230,SimBin,Racing,Racing,Single-player,2006
Zen of Sudoku,0.0,4900,Unknown Worlds Entertainment,Casual,Casual,Single-player,2006
Gumboy - Crazy Adventures™,4.99,2520,"CINEMAX, s.r.o.",Casual,Casual,Single-player,2006
Ghost Master®,4.99,6200,Sick Puppies,Strategy,Strategy,Single-player,2003
Vegas: Make It Big™,4.99,6210,Deepred,Strategy,Strategy,Single-player,2006
Dreamfall: The Longest Journey,19.99,6300,Funcom,Adventure,Adventure,Single-player,2006
FlatOut 2™,9.99,2990,Bugbear Entertainment,Racing,Racing,Single-player,2006
FlatOut,7.49,6220,Bugbear Entertainment,Racing,Racing,Single-player,2005
Lost Planet™: Extreme Condition,14.99,6510,"CAPCOM Co., Ltd.",Action,Action,Single-player,2007
CivCity: Rome,9.99,3980,"FireFly Studios,Firaxis Games",Strategy,Strategy,Single-player,2006
Arx Fatalis,4.99,1700,Arkane Studios,RPG,RPG,Single-player,2002
The Longest Journey,9.99,6310,Funcom,Action,Adventure,Single-player,2000
Civilization IV®: Warlords,4.99,3990,Firaxis Games,Strategy,Strategy,Single-player,2006
Railroad Tycoon 3,9.99,7610,PopTop,Strategy,Strategy,Single-player,2003
Sid Meier's Railroads!,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",Strategy,Strategy,Single-player,2006
Railroad Tycoon II Platinum,4.99,7620,PopTop,Strategy,Strategy,Single-player,1998
RIP - Trilogy™,4.99,2540,Elephant Games,Casual,Indie,Single-player,2007
X-COM: Terror From the Deep,4.99,7650,"MicroProse Software, Inc",Strategy,Strategy,Single-player,1995
Tomb Raider: Anniversary,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",Action,Action,Single-player,2007
Devil May Cry® 3 Special Edition,19.99,6550,"CAPCOM Co., Ltd.",Action,Action,Single-player,2006
Sam & Max 101: Culture Shock,19.99,8200,Telltale Games,Action,Point & Click,Single-player,2006
Final DOOM,4.99,2290,id Software,Action,FPS,Single-player,1996
Vigil: Blood Bitterness™,8.866131486539212,2570,Freegamer,Indie,Indie,Single-player,2007
Sam & Max 102: Situation: Comedy,19.99,8210,Telltale Games,Action,Adventure,Single-player,2006
Ultimate Doom,4.99,2280,id Software,Action,Classic,Single-player,1995
Master Levels for Doom II,14.99,9160,id Software,Action,Action,Single-player,1995
DOOM II,4.99,2300,id Software,Action,Classic,Single-player,1994
Wolfenstein 3D,4.99,2270,id Software,Action,FPS,Single-player,1994
Return to Castle Wolfenstein,4.99,9010,Gray Matter Studios,Action,FPS,Single-player,2001
QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040,Ritual Entertainment,Action,Action,Single-player,1997
Spear of Destiny,2.99,9000,id Software,Action,Action,Single-player,1993
BloodRayne,9.99,3810,Terminal Reality,Action,Action,Single-player,2003
QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030,Rogue Entertainment,Action,Action,Single-player,2007
QUAKE,4.99,2310,id Software,Action,FPS,Single-player,2007
Genesis Rising,4.99,3230,Metamorf,Strategy,Strategy,Single-player,2007
"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310,Relic Entertainment,Strategy,Strategy,Single-player,2006
BioShock™,19.99,7670,"2K Boston,2K Australia",Action,FPS,Single-player,2007
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,Relic Entertainment,Strategy,Strategy,Single-player,2006
"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,Relic Entertainment,Strategy,Strategy,Single-player,2006
Rome: Total War™ - Collection,9.99,4760,The Creative Assembly,Strategy,Strategy,Single-player,2004
Rome: Total War™ - Alexander,4.99,4770,The Creative Assembly,Strategy,Strategy,Single-player,2006
Mystery Case Files: Madame Fate®,6.99,50970,Big Fish Games,Casual,Casual,Single-player,2007
Grand Theft Auto,8.866131486539212,12170,Rockstar North,Action,Action,Single-player,1998
Grand Theft Auto 2,8.866131486539212,12180,Rockstar North,Action,Action,Single-player,1999
Manhunt,9.99,12130,Rockstar North,Action,Gore,Single-player,2004
Midnight Club 2,9.99,12160,Rockstar San Diego,Racing,Racing,Single-player,2003
Max Payne 2: The Fall of Max Payne,9.99,12150,Remedy Entertainment,Action,Noir,Single-player,2003
Tomb Raider: Legend,6.99,7000,Crystal Dynamics,Action,Adventure,Single-player,2006
Max Payne,9.99,12140,Remedy Entertainment,Action,Noir,Single-player,2001
Command & Conquer: Red Alert 3,19.99,17480,EA Los Angeles,Strategy,Strategy,Single-player,2008
PuzzleQuest: Challenge of the Warlords,9.99,12500,Infinite Interactive,Casual,Puzzle,Single-player,2007
Culpa Innata,9.99,12310,Momentum Digital Media Technologies,RPG,Adventure,Single-player,2007
Prison Tycoon 3™: Lockdown,9.99,12510,"Gamebryo,Virtual Playground",Strategy,Strategy,Single-player,2007
Hunting Unlimited™ 2008,9.99,12530,SCS Software,Action,Action,Single-player,2007
18 Wheels of Steel: American Long Haul,9.99,12520,SCS Software,Racing,Simulation,Single-player,2007
Conflict: Denied Ops,5.99,8100,Pivotal Games,Action,Action,Single-player,2008
ARMA: Combat Operations,7.99,2780,Bohemia Interactive,Action,Action,Single-player,2007
Tycoon City: New York,9.99,9730,Sin dato,Simulation,Simulation,Single-player,2006
Desperados 2: Cooper's Revenge,9.99,9710,Spellbound,Action,Action,Single-player,2006
Death to Spies,4.99,9800,Haggard Games,Action,Stealth,Single-player,2007
Act of War: High Treason,2.99,9760,Eugen Systems,Action,Action,Single-player,2006
RollerCoaster Tycoon® 3: Platinum,19.99,2700,"Frontier,Aspyr (Mac)",Simulation,Simulation,Single-player,2006
Act of War: Direct Action,2.99,2710,Eugen Systems,Action,Action,Single-player,2005
Unreal 2: The Awakening,14.99,13200,"Epic Games, Inc.",Action,Action,Single-player,2003
Unreal Gold,9.99,13250,"Epic Games, Inc.",Action,Classic,Single-player,1998
Ninja Reflex: Steamworks Edition,4.99,13000,Sanzaru Games,Casual,Indie,Single-player,2008
Tom Clancy's Splinter Cell®,9.99,13560,Ubisoft,Action,Stealth,Single-player,2003
Far Cry®,9.99,13520,Crytek Studios,Action,FPS,Single-player,2004
Unreal Tournament: Game of the Year Edition,9.99,13240,"Epic Games, Inc.",Action,Classic,Single-player,2000
Tom Clancy's Rainbow Six® Vegas,9.99,13540,Ubisoft Montreal,Action,Action,Single-player,2006
Silent Hunter® III,9.99,15210,Ubisoft,Simulation,Simulation,Single-player,2005
Virtual Villagers - The Secret City,9.99,16180,Last Day of Work,Casual,Casual,Single-player,2008
Mystery P.I.™ - The Vegas Heist,4.99,3520,SpinTop Games,Casual,Casual,Single-player,2008
Luxor,9.99,15970,MumboJumbo,Casual,Casual,Single-player,2008
Reaxxion,9.99,15950,MumboJumbo,Casual,Casual,Single-player,2008
Little Farm,9.99,15960,MumboJumbo,Casual,Casual,Single-player,2008
7 Wonders II,9.99,15900,MumboJumbo,Casual,Casual,Single-player,2008
Luxor Amun Rising,9.99,15910,MumboJumbo,Casual,Casual,Single-player,2005
Luxor 3,9.99,15930,MumboJumbo,Casual,Casual,Single-player,2007
Petz® Horsez® 2,9.99,15160,Ubisoft,Simulation,Simulation,Single-player,2007
Luxor 2,9.99,15920,MumboJumbo,Casual,Casual,Single-player,2005
Rayman Raving Rabbids™,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",Action,Adventure,Single-player,2007
Silent Hunter®: Wolves of the Pacific,9.99,15200,Ubisoft Romania,Simulation,Simulation,Single-player,2007
IL-2 Sturmovik: 1946,9.99,15320,1C: Maddox Games,Simulation,Simulation,Single-player,2006
Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240,Ubisoft Romania,Simulation,Simulation,Single-player,2008
Bone: Out From Boneville,9.99,8310,Telltale Games,Adventure,Adventure,Single-player,2005
Midnight Outlaw: 6 Hours to SunUp,9.99,12600,"Merscom,Babylon",Racing,Racing,Single-player,2005
Bone: The Great Cow Race,9.99,8320,Telltale Games,Adventure,Adventure,Single-player,2006
Sprint Cars Road to Knoxville,9.99,12590,BigAnt Studios,Racing,Racing,Single-player,2008
Dr. Daisy Pet Vet,9.99,12580,Zemnott,Sin dato,Casual,Single-player,2008
Ride! Carnival Tycoon,9.99,12560,Gabriel Entertainment,Simulation,Simulation,Single-player,2007
Hot Dish,9.99,12570,Zemnott,Sin dato,Casual,Single-player,2008
Mahjongg Investigations: Under Suspicion,9.99,12540,Zemnott,Casual,Casual,Single-player,2007
Dracula Origin,9.99,11050,Frogwares,Adventure,Adventure,Single-player,2008
Beijing 2008™ - The Official Video Game of the Olympic Games,8.866131486539212,10520,Eurocom,Sports,Sports,Single-player,2008
Sherlock Holmes - Nemesis,9.99,11040,Frogwares,Adventure,Adventure,Single-player,2008
Eternity's Child,4.99,19500,"Luc Bernard,SilverSphereStudios",Adventure,Indie,Single-player,2008
Pacific Storm Allies,7.99,11260,Lesta Studio,Simulation,Simulation,Single-player,2007
Tank Universal,4.99,19200,Dialogue Design,Action,Action,Single-player,2008
FlatOut: Ultimate Carnage,19.99,12360,Bugbear Entertainment,Racing,Racing,Single-player,2008
Oddworld: Abe's Exoddus®,2.99,15710,Oddworld Inhabitants,Adventure,Adventure,Single-player,1998
Oddworld: Abe's Oddysee®,2.99,15700,Oddworld Inhabitants,Adventure,Platformer,Single-player,1997
GTR Evolution Expansion Pack for RACE 07,7.99,8660,SimBin,Racing,Racing,Single-player,2008
X-COM: Enforcer,4.99,7770,"MicroProse Software, Inc",Strategy,Strategy,Single-player,2001
X-COM: Apocalypse,4.99,7660,"MicroProse Software, Inc",Strategy,Strategy,Single-player,1997
X-COM: UFO Defense,4.99,7760,"MicroProse Software, Inc",Strategy,Strategy,Single-player,1993
S.T.A.L.K.E.R.: Clear Sky,9.99,20510,GSC Game World,Action,Open World,Single-player,2008
Crysis Warhead®,19.99,17330,Crytek,Action,Action,Single-player,2008
Crysis,19.99,17300,Crytek,Action,FPS,Single-player,2007
X-COM: Interceptor,4.99,7730,"MicroProse Software, Inc",Strategy,Strategy,Single-player,1998
The Witcher: Enhanced Edition Director's Cut,9.99,20900,CD PROJEKT RED,Action,RPG,Single-player,2008
Multiwinia,9.99,1530,Introversion Software,Indie,Indie,Single-player,2008
STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690,SimBin,Racing,Racing,Single-player,2008
Children of the Nile: Alexandria,2.49,17120,"Tilted Mill Entertainment, Inc.",Strategy,City Builder,Single-player,2008
Sid Meier's Civilization IV: Colonization,19.99,16810,Firaxis Games,Strategy,Strategy,Single-player,2008
Tom Clancy's Rainbow Six® 3 Gold,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",Action,Tactical,Single-player,2003
LEGO Batman,19.99,21000,Traveller's Tales,Action,LEGO,Single-player,2008
City Life 2008,9.99,4460,Monte Cristo,Simulation,Simulation,Single-player,2008
Hinterland,9.99,17140,"Tilted Mill Entertainment, Inc.",RPG,RPG,Single-player,2008
Brothers in Arms: Hell's Highway™,9.99,15390,Gearbox Software,Action,Action,Single-player,2008
Gravitron 2,4.99,21300,Dark Castle Software,Indie,Arcade,Single-player,2008
Xpand Rally Xtreme,4.99,3050,Techland,Racing,Racing,Single-player,2006
Heroes of Might & Magic V: Hammers of Fate,9.99,15380,Nival,Strategy,Strategy,Single-player,2006
Brothers in Arms: Earned in Blood™,9.99,19800,Gearbox Software,Action,Action,Single-player,2005
Heroes of Might & Magic V: Tribes of the East,9.99,15370,Nival,Strategy,Strategy,Single-player,2007
The Settlers®: Rise Of An Empire Gold Edition,19.99,19930,Blue Byte,Strategy,Strategy,Single-player,2008
Brain Spa,9.99,15350,Ubisoft,Casual,Casual,Single-player,2007
The Sum of All Fears,9.99,19810,Red Storm Entertainment,Action,Action,Single-player,2002
Peggle™ Nights,4.99,3540,"PopCap Games, Inc.",Casual,Casual,Single-player,2008
World of Goo,9.99,22000,2D BOY,Indie,Puzzle,Single-player,2008
X3: Terran Conflict,15.99,2820,Egosoft,Action,Space,Single-player,2008
Mare Nostrum,0.0,1230,Sandstorm Productions,Action,Action,Multi-player,2008
Spectraball,4.99,18300,Shorebound Studios,Casual,Casual,Single-player,2008
Galactic Bowling,19.99,20200,Perpetual FX Creative,Indie,Indie,Single-player,2008
Bully: Scholarship Edition,14.99,12200,Rockstar New England,Action,Open World,Single-player,2008
Far Cry® 2: Fortune's Edition,9.99,19900,Ubisoft Montreal,Action,Open World,Single-player,2008
Space Trader: Merchant Marine,4.99,11240,Meridian4,Action,Action,Single-player,2008
PRR Wagon Pack 01,4.99,256522,RailSimulator.com,Simulation,Simulation,Single-player,2009
"Class 421 London South East ""Jaffa Cake""",4.99,275144,RailSimulator.com,Simulation,Simulation,Single-player,2009
ATSF Wagon Pack 01,4.99,256521,RailSimulator.com,Simulation,Simulation,Single-player,2009
GP20 Union Pacific Add-on Livery,4.99,222569,Reppo,Simulation,Simulation,Single-player,2009
UK Van Wagon Pack,4.99,256535,RailSimulator.com,Simulation,Simulation,Single-player,2009
CSX SD70MAC Add-on Livery,4.99,256611,Dovetail Games,Simulation,Simulation,Single-player,2009
CSX ES44AC Add-on Livery,4.99,256576,Dovetail Games,Simulation,Simulation,Single-player,2009
Saints Row 2,9.99,9480,Volition,Action,Open World,Single-player,2009
Dead Space,19.99,17470,EA Redwood Shores,Action,Horror,Single-player,2008
Rise of the Argonauts,9.99,12770,Liquid Entertainment,RPG,RPG,Single-player,2008
Mirror's Edge™,19.99,17410,DICE,Action,Parkour,Single-player,2009
Defense Grid: The Awakening,9.99,18500,Hidden Path Entertainment,Indie,Tower Defense,Single-player,2008
F.E.A.R. 2: Project Origin,14.99,16450,Monolith,Action,Horror,Single-player,2009
Harvest: Massive Encounter,7.99,15400,Oxeye Game Studio,Strategy,Strategy,Single-player,2008
Mayhem Intergalactic,9.99,18600,Inventive Dingo,Indie,Indie,Single-player,2007
Larva Mortus,4.99,11340,Meridian4,Action,Action,Single-player,2009
Knights of Honor,9.99,25830,Black Sea Studios Ltd,Strategy,Strategy,Single-player,2005
Ceville,5.99,23460,Realmforge Studios,Action,Adventure,Single-player,2009
Empire: Total War™ - Special Forces Units & Bonus Content,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy,Strategy,Single-player,2009
Watchmen: The End is Nigh,4.99,21010,Deadline Games,Action,Action,Single-player,2009
Penumbra Overture,9.99,22180,Frictional Games,Action,Horror,Single-player,2007
Unreal Tournament 3 Black,19.99,13210,"Epic Games, Inc.",Action,FPS,Single-player,2007
Drakensang,9.99,12640,Radon Labs,RPG,RPG,Single-player,2009
Age of Booty™,8.866131486539212,21600,Certain Affinity™,Casual,Strategy,Single-player,2009
The Graveyard,4.99,27020,Tale of Tales,Indie,Walking Simulator,Single-player,2008
Burnout Paradise: The Ultimate Box,19.99,24740,Criterion Games,Racing,Racing,Single-player,2009
Zombie Master,8.866131486539212,90047,Zombie Master Team,Action,Zombies,Multi-player,2009
The Maw,9.99,26000,Twisted Pixel Games,Action,Indie,Single-player,2009
The Maw: River Redirect,1.25,26006,Twisted Pixel Games,Action,Action,Single-player,2009
The Maw: Brute Force,1.25,26005,Twisted Pixel Games,Action,Action,Single-player,2009
Obulis,4.99,11330,IonFX,Casual,Puzzle,Single-player,2009
Space Giraffe,9.99,27800,Llamasoft LTD,Indie,Psychedelic,Single-player,2009
Codename: Panzers - Cold War,14.99,9850,"InnoGlow,Stormregion,THQ Nordic",Simulation,Strategy,Single-player,2009
Escape Rosecliff Island,4.99,3600,SpinTop Games,Casual,Casual,Single-player,2009
Guild Wars Nightfall,19.99,29580,ArenaNet®,RPG,RPG,Multi-player,2006
Guild Wars,19.99,29540,ArenaNet®,RPG,RPG,Multi-player,2005
Guild Wars Factions,19.99,29560,ArenaNet®,RPG,Massively Multiplayer,Multi-player,2006
Guild Wars Trilogy,29.99,29570,ArenaNet®,Massively Multiplayer,RPG,Multi-player,2008
Puzzle Kingdoms,14.99,23700,Infinite Interactive,Casual,Casual,Multi-player,2009
Samantha Swift and the Golden Touch,9.99,16060,MumboJumbo,Casual,Casual,Single-player,2009
Two Worlds Epic Edition,9.99,1930,Reality Pump Studios,RPG,RPG,Single-player,2009
Helldorado,9.99,18470,Spellbound,Strategy,Strategy,Single-player,2009
X-Blades,9.99,7510,Gaijin Entertainment,Action,Action,Single-player,2009
Zeno Clash,9.99,22200,ACE Team,Action,Action,Single-player,2009
The Maw: Speeder Lane,1.25,26007,Twisted Pixel Games,Indie,Indie,Single-player,2009
King's Bounty: The Legend,6.99,25900,1C Company,RPG,RPG,Single-player,2008
Virtual Families,9.99,16200,Last Day of Work,Casual,Simulation,Single-player,2009
Death Track®: Resurrection,2.99,7840,Sky Fallen,Racing,Racing,Single-player,2009
Freedom Force vs. the Third Reich,4.99,8890,Irrational Games,RPG,RPG,Single-player,2005
Freedom Force,4.99,8880,Irrational Games,RPG,RPG,Single-player,2002
Light of Altair,14.99,34500,SaintXi,Indie,Strategy,Single-player,2009
Darkest Hour: Europe '44-'45,0.0,1280,Darklight Games,Action,World War II,Multi-player,2009
Prototype™,19.99,10150,Radical Entertainment,Action,Action,Single-player,2009
Blueberry Garden,4.99,29160,Erik Svedäng,Adventure,Adventure,Single-player,2017
Port Royale 2,4.99,12470,Ascaron Entertainment ltd.,Strategy,Strategy,Single-player,2004
Call of Cthulhu®: Dark Corners of the Earth,4.99,22340,Headfirst Productions,Sin dato,Horror,Single-player,2006
The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99,22330,Bethesda Game Studios,RPG,Open World,Single-player,2007
The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,22320,Bethesda Game Studios,RPG,RPG,Single-player,2002
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,19.99,900883,Bethesda Game Studios®,Sin dato,Open World,Single-player,2009
Ankh 2: Heart of Osiris,4.99,12440,Deck 13,Adventure,Adventure,Single-player,2007
Armored Fist 3,9.99,32710,NovaLogic,Simulation,Simulation,Single-player,1999
MiG-29 Fulcrum,9.99,32740,NovaLogic,Simulation,Simulation,Single-player,1998
BC Kings,4.99,12460,Mascot Entertainment,Strategy,Strategy,Single-player,2008
Call of Juarez®: Bound in Blood,9.99,21980,Techland,Action,Western,Single-player,2009
Nancy Drew®: Legend of the Crystal Skull,6.99,31860,HeR Interactive,Adventure,Adventure,Single-player,2007
Nancy Drew®: The Creature of Kapu Cave,6.99,31900,HeR Interactive,Adventure,Adventure,Single-player,2006
Nancy Drew®: The Phantom of Venice,6.99,31920,HeR Interactive,Adventure,Adventure,Single-player,2008
Nancy Drew®: The White Wolf of Icicle Creek,6.99,31930,HeR Interactive,Adventure,Adventure,Single-player,2007
BRAINPIPE: A Plunge to Unhumanity,0.0,35800,Digital Eel,Casual,Casual,Single-player,2008
Hunting Unlimited 2010,9.99,12690,Sin dato,Simulation,Simulation,Single-player,2009
Tales of Monkey Island Complete Pack,19.99,31170,Telltale Games,Adventure,Adventure,Single-player,2009
Street Fighter® IV,19.99,21660,Capcom,Action,Fighting,Single-player,2009
Thrillville®: Off the Rails™,9.99,6080,Frontier,Action,Simulation,Single-player,2007
Indiana Jones® and the Fate of Atlantis™,5.99,6010,LucasArts,Adventure,Adventure,Single-player,1992
Armed and Dangerous®,5.99,6090,Planet Moon Studios,Action,Action,Single-player,2003
"Star Wars: Battlefront 2 (Classic, 2005)",9.99,6060,Pandemic Studios,Action,Star Wars,Single-player,2005
Indiana Jones® and the Last Crusade™,5.99,32310,LucasArts,Adventure,Adventure,Single-player,1989
LEGO® Indiana Jones™: The Original Adventures,19.99,32330,Traveller's Tales,Action,Adventure,Single-player,2008
The Secret of Monkey Island: Special Edition,9.99,32360,LucasArts,Adventure,Point & Click,Single-player,2009
Warfare,12.99,35300,GFI Russia,Strategy,Strategy,Single-player,2008
Clutch,9.99,35310,Targem Games,Action,Racing,Single-player,2009
Nancy Drew®: Ransom of the Seven Ships,6.99,31980,HeR Interactive,Adventure,Adventure,Single-player,2009
Nancy Drew®: Ransom of the Seven Ships Demo,8.866131486539212,31990,Her Interactive,Adventure,Sin dato,Single-player,2009
3D Ultra™ Minigolf Adventures,9.99,10140,Wanako Games,Sports,Sports,Single-player,2006
King's Quest™ Collection,19.99,10100,Sierra,Adventure,Adventure,Single-player,2006
TimeShift™,19.99,10130,Saber Interactive,Action,Action,Single-player,2007
Space Quest™ Collection,19.99,10110,Sierra,Adventure,Adventure,Single-player,2006
Killing Floor Outbreak Character Pack,7.99,1256,Tripwire Interactive,Action,Action,Single-player,2009
Aces of the Galaxy™,9.99,10120,Artech Studios,Action,Action,Single-player,2008
Tropico Reloaded,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",Simulation,Simulation,Single-player,2009
Mystery P.I. - Lost in Los Angeles,4.99,3610,SpinTop Games,Casual,Casual,Single-player,2009
Bionic Commando: Rearmed,9.99,21680,Capcom,Action,Action,Single-player,2008
Bionic Commando,9.99,21670,Capcom,Action,Action,Single-player,2009
Watchmen: The End is Nigh Part 2,4.99,21030,Deadline Games,Action,Action,Single-player,2009
Foreign Legion: Buckets of Blood,4.99,36000,Sakari Indie,Action,Action,Single-player,2009
STAR WARS™ - Knights of the Old Republic™,9.99,32370,"BioWare,Aspyr (Mac)",Adventure,RPG,Single-player,2003
Osmos,9.99,29180,Hemisphere Games,Indie,Indie,Single-player,2009
Fallout 2: A Post Nuclear Role Playing Game,9.99,38410,Black Isle Studios,RPG,RPG,Single-player,1998
Fallout Tactics: Brotherhood of Steel,9.99,38420,14° East,Strategy,Post-apocalyptic,Single-player,2001
Kingpin — Life of Crime,9.99,38430,Xatrix Entertainment,Action,Action,Single-player,1999
Sacrifice,9.99,38440,Shiny Entertainment,Sin dato,Strategy,Single-player,2000
Mini Ninjas Demo,8.866131486539212,35050,IO Interactive,Action,Sin dato,Single-player,2009
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,19.99,31180,Telltale Games,Adventure,Adventure,Single-player,2009
Jewel Quest Pack,19.99,37960,iWin,Casual,Casual,Single-player,2009
Mahjong Quest Collection,9.99,38000,iWin,Casual,Casual,Single-player,2009
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",4.99,37400,Size Five Games,Adventure,Point & Click,Single-player,2009
Tom Clancy's Splinter Cell Chaos Theory®,9.99,13570,Ubisoft Montreal,Action,Stealth,Single-player,2005
