user_id,recommend_yes,recommend_not
1440454,2,0
1452221660414,4,0
145578,1,0
1457184935981,4,0
14725836900,1,0
147532984,1,0
150010792,2,0
154352,3,1
1546328127418,1,1
154930493,2,0
15511551,4,0
157645,1,0
15832789427,2,0
15934,4,0
159zse159,1,0
1626466724893520,9,0
163050995,1,0
16538,4,0
169420666,1,0
17101710,8,1
171516,5,1
17291799,1,0
1739902091026,1,0
174gamecuman700kngkakak,6,0
17829463213,2,0
1800-Ricohut,5,1
1801010101,4,1
180577,1,0
18082001,3,0
18228272828,4,0
18481,2,0
1850172512752815,1,0
1873410337,8,1
1875489156748,1,0
187625,2,1
1889999999999999,1,0
1892322575,1,0
19-20-5-20-27-5-18,1,0
1920410,0,1
1922001,2,0
19372250,1,0
1944086851,1,0
194847383,6,0
1956aa1,1,1
195862,5,0
1994dbc,1,0
19990923,1,0
19te_Polska,1,0
1MLG2U,5,0
1NFR33,1,0
1R1M1,1,2
1a1u14,2,0
1epicninja,5,0
1iam1iam1iam,3,0
1jamesn4,2,0
1silentsniper1,1,0
1snap,6,1
1stBLUE-COW,1,0
1stJamestar,1,0
1stpionpaul,1,0
1v08,1,0
1v1meguy,2,0
200220006,1,0
20041213,2,1
200px-spy-taunt-laugh,1,0
2011368123,1,0
2080308,2,0
2092000666,3,0
210396,8,0
210519992016,1,4
211011374,1,0
216712138,1,0
2222455,1,0
22502250,1,0
225544,2,1
225555,1,0
2271531450,1,0
23012003,2,0
231091,1,0
231321455,5,0
23184798,1,0
2323534545,5,2
23434454365463446754546576e45646,2,0
2345254252312312,7,2
235269,1,0
2364786499,1,0
23745736,2,0
2390746539217,2,0
23974656456,1,0
23Batman05,7,0
24101738,1,0
24453,2,1
2448531,1,0
24596,1,0
246823,1,0
247211,5,0
2479742,3,0
249758,1,0
25050,1,0
25230405,1,0
2547887,0,1
2571,5,0
25_Years_Since_Freddie,6,1
26070,1,0
2608739,2,0
2647891,1,0
27073108,1,1
27601MCM,1,0
2768820078,8,2
279519365,1,0
28042005,6,0
2828838282,1,0
2891723967123,5,2
29017637452801,1,0
2910463,2,4
291129112911291129112911,1,0
29123,8,2
29998000,2,0
2Chill,3,0
2Degrees,3,0
2EzRogueDH,5,0
2JZEEEEBABY,2,0
2Lethal,3,0
2Ta4,2,1
2ZESTY4ME,2,2
2d4nk4m3,1,1
2edgy4youboi,6,0
2ez2xl,2,0
2ez4medick,1,0
2ik4tf,1,0
2lstgun,1,0
2nerdssemvida,2,0
2pacisaliveincuba,1,0
2red12,1,0
2sBs,10,0
2sd31,1,0
2slippy,2,1
2sneaky5u,1,0
2spookis,1,0
2spooky,5,1
2v1meyoucheekyscrub,1,0
2xDelorean,4,0
30102002,1,0
3021Daniel,1,0
3046123,1,0
314155156915923,2,0
31575,1,0
317733235,1,1
317984739321,6,0
3197,3,1
320RustPro,2,0
3214213216,1,0
326759263846544,1,1
329838102,2,1
32bitmaximus,1,0
33215469,1,0
33334scat,1,0
333hab,1,0
33442,1,0
334756875,3,2
3423523425433425,1,0
343221221,1,0
34324132,1,0
345675,9,0
34573671264yi,1,0
350241,1,0
3523436346,2,0
35353534,3,0
3546873516354,2,1
35475,2,0
3548548564856498484894,5,1
3565Jason,2,0
360j1mmy,3,0
36864,1,1
369231461278416,2,0
36_T,8,1
373848099,1,0
37755753,8,2
381644,1,0
38927497,1,0
391204566,1,0
3Ldota,3,0
3X5G3,5,0
3dster,1,0
3eBpA,1,0
3lAckCAt,1,0
3teGZ_Rorschach,7,0
3th3,8,1
3xU,1,0
3xotic26,4,0
402553929,1,0
4043RROR,2,0
404ok4561687987879847,0,1
4123223232,1,0
416940127,1,2
41781029,1,0
4200769711,1,0
420BlazeItMLG,2,1
420Blz,1,0
420BlzeIT,1,0
420Club,1,0
420DankMasterKush420,2,0
420NigelGaming420,5,1
420_Blaze_It_Fgt,2,0
420cheekycunt,0,1
420fedora,9,1
420slender,1,0
42241,1,0
4234213234124,1,0
42456,5,0
42654264,1,0
4301945,1,0
4321louis,1,0
4324434,2,0
434238948,7,0
434546464,3,0
43643532,1,0
44196,3,1
44290,1,0
4432XABLAU,3,1
44579,1,0
45236243663663643636,0,1
4545451111,1,0
4545648,1,0
45514551,4,0
45544554455445,1,0
4563453467436754656677,1,0
45667992,3,1
45685748567857,1,0
45826755958,1,0
46366536564574576346346546,1,0
47332585890115903727,6,2
4801,4,2
48226746,7,1
486259317,5,0
4RCH4NG3Ll,3,0
4_5C12U13,6,0
4hwei,2,1
4i20swagyolo69,4,0
4mrtm,5,0
4n631,1,0
4nti-y0u,2,0
4tiles,2,0
4u5ur0,4,0
51041,1,0
51134243,7,0
512356,8,0
51564210333,2,0
519348245,1,0
51centcorn,5,1
51jets,1,0
527788235,6,0
53112195114,1,0
5343039,1,0
535346456636,1,1
5400540054005400,8,0
54263144,2,0
544183980,1,0
544542132154524145,1,0
54546545,1,0
54678907652,4,4
548547248072804,3,0
54Strat,3,0
5512FAG365123BOi27,1,0
554076033,1,0
55411144321649875611,6,2
55432147,1,3
5554Grovesy,4,0
558092,5,0
564743553uy5367,1,0
5678LetMeCyaBootyShake,1,2
58077979,1,0
58254410,4,0
5856565456564,5,0
58981044,1,0
5975,1,0
5LuG,1,0
5mok3y,3,0
5p1d3r5,1,0
5spooky420me,3,0
5yearoldrexrex111,1,0
60324133769,5,0
61241571,1,0
616333,2,0
618554,1,0
62245757454,1,0
62568973,1,0
6294421419,2,0
6367468774734664754,1,0
63718432421321321312,3,1
63Hayden,6,0
6435677448,1,0
64512328,6,2
64574574574744,3,0
64723864,0,1
654986416581986168165,1,0
657475591245,1,0
6592,1,0
66083299,4,0
66655493948,8,0
66666669999999,0,1
6667779,1,0
666_pl_Satan_pl_666,7,1
666slayerr666,1,0
66839427,1,0
66d,2,0
6738497298564377854673421,2,0
678rtv45,4,0
67samjosh,1,1
69133709,1,0
692412341234,1,0
6935,7,0
694201337694201337,2,0
696969696969699,4,0
69_420_bl41e_fgt,1,0
69bmw,1,1
69madman,1,0
6dighero,2,0
6ex6ex6ex,1,0
6golf6,1,0
70spots,2,0
711armageddoncarmageddon,3,0
7122456,1,0
71251241,9,0
723943123,6,1
72947282842,1,0
735102120,1,0
737911,3,0
739567275,2,0
739749287981,1,0
740449400,1,0
748237482374284792,2,0
74987000,5,2
750805,0,2
7515953,4,0
75791513,3,2
75k12,3,0
76561197960288186,1,0
76561197960324928,1,2
76561197960425229,1,0
76561197960438497,1,0
76561197960461312,1,1
76561197960467275,2,0
76561197960565429,1,0
76561197960608571,1,0
76561197960743001,1,0
76561197960788238,3,0
76561197960877501,0,1
76561197960909955,1,0
76561197960963309,1,0
76561197961051810,1,0
76561197961124706,1,0
76561197961205196,1,0
76561197961464265,1,0
76561197961718947,1,1
76561197961778802,1,0
76561197962025274,1,0
76561197962071692,2,0
76561197963085108,1,0
76561197963392788,1,0
76561197963397231,1,0
76561197963427169,1,0
76561197963436918,1,0
76561197963455626,2,0
76561197963459411,0,1
76561197963469414,1,2
76561197963478502,1,0
76561197963587066,1,0
76561197963638240,1,0
76561197963759246,0,1
76561197964316999,0,1
76561197964317648,2,0
76561197964402427,1,0
76561197964753680,4,0
76561197964772156,0,1
76561197964876290,1,0
76561197965059579,1,0
76561197965144435,1,0
76561197965205416,5,0
76561197965208032,2,0
76561197965224231,2,0
76561197965263006,1,0
76561197965557728,2,0
76561197965640732,5,1
76561197965668941,1,0
76561197965916509,1,0
76561197966079422,0,1
76561197966227291,1,0
76561197966298550,1,0
76561197966586458,1,0
76561197966587792,1,0
76561197966590415,1,0
76561197966604253,0,1
76561197966647905,0,1
76561197966764681,1,0
76561197966956978,1,1
76561197966970006,3,0
76561197966979423,1,1
76561197967118917,1,0
76561197967174031,1,0
76561197967253452,1,0
76561197967370851,1,0
76561197967405669,1,0
76561197967445425,1,0
76561197967609413,0,2
76561197967664049,1,0
76561197967708845,0,1
76561197967723333,1,3
76561197967849744,1,0
76561197968133716,1,0
76561197968167449,5,0
76561197968205306,1,0
76561197968305777,1,0
76561197968314652,1,0
76561197968314999,1,0
76561197968496988,1,0
76561197968515654,0,1
76561197968625140,1,0
76561197968819806,3,0
76561197968887720,1,1
76561197968933410,0,2
76561197969020980,8,0
76561197969314107,6,2
76561197969434273,5,0
76561197969599867,0,1
76561197969602007,2,0
76561197969663913,1,0
76561197969678792,1,0
76561197969727244,5,1
76561197969764991,0,1
76561197969800840,2,0
76561197969812413,8,0
76561197969868617,1,0
76561197970097668,2,0
76561197970148466,1,0
76561197970317038,3,0
76561197970329595,1,0
76561197970476149,1,0
76561197970512992,2,0
76561197970519274,1,0
76561197970519408,0,1
76561197970523542,0,1
76561197970528598,1,0
76561197970532600,0,1
76561197970539254,1,0
76561197970542592,3,0
76561197970551076,1,0
76561197970561135,2,0
76561197970565267,2,2
76561197970580235,1,0
76561197970600478,3,3
76561197970643976,2,1
76561197970691715,1,0
76561197970723780,2,0
76561197970724420,4,0
76561197970725078,0,1
76561197970767761,1,0
76561197970769295,0,1
76561197970809118,1,0
76561197970812298,4,0
76561197970814132,1,0
76561197970849273,1,0
76561197970895200,1,0
76561197970931849,2,1
76561197970952528,4,0
76561197970972400,4,2
76561197970980141,3,1
76561197970980211,3,0
76561197970982479,3,0
76561197970989261,3,0
76561197971050940,0,1
76561197971059162,3,0
76561197971077817,1,0
76561197971119511,3,0
76561197971124277,0,2
76561197971285616,7,0
76561197971327741,1,0
76561197971330852,1,0
76561197971336570,1,0
76561197971366625,1,0
76561197971402201,1,0
76561197971407276,1,0
76561197971440875,1,0
76561197971470597,1,0
76561197971532272,2,1
76561197971541516,1,0
76561197971591275,1,0
76561197971725163,3,0
76561197971730470,2,0
76561197971744536,0,1
76561197971851704,4,0
76561197971860091,1,2
76561197971917242,1,0
76561197971933349,2,0
76561197972017423,2,0
76561197972024039,3,0
76561197972059969,1,0
76561197972180709,1,0
76561197972209961,1,0
76561197972261430,5,0
76561197972282027,1,1
76561197972361546,2,0
76561197972384083,1,0
76561197972452208,2,0
76561197972468339,1,0
76561197972516748,1,0
76561197972609650,0,1
76561197972646182,1,1
76561197972718483,1,1
76561197972758795,1,0
76561197972797551,1,0
76561197972911511,6,1
76561197973196808,1,0
76561197973290663,2,0
76561197973337386,3,0
76561197973688926,3,2
76561197973723668,1,0
76561197973942939,4,0
76561197974036386,2,1
76561197974172778,1,0
76561197974288321,0,1
76561197974500703,9,1
76561197974754753,1,0
76561197974804604,1,0
76561197974875094,4,0
76561197974963007,1,0
76561197975058559,2,1
76561197975700338,1,0
76561197975867686,2,0
76561197975869516,1,0
76561197975959500,1,0
76561197975973976,1,0
76561197976109742,0,2
76561197976163348,6,1
76561197976177356,1,1
76561197976250649,1,0
76561197976370569,1,0
76561197976404001,9,0
76561197976455887,0,1
76561197976546912,2,1
76561197976603911,1,1
76561197976652491,2,0
76561197976684435,0,1
76561197976763710,1,0
76561197976922181,3,2
76561197976933723,1,0
76561197976939762,1,1
76561197976984468,0,1
76561197977001876,1,0
76561197977051585,0,1
76561197977246575,1,0
76561197977301184,1,0
76561197977316974,1,0
76561197977470391,1,0
76561197977507720,2,0
76561197977543317,0,1
76561197977544920,4,0
76561197977705860,3,0
76561197977767929,1,0
76561197977799906,1,0
76561197977922960,1,0
76561197977976937,1,0
76561197977981554,3,0
76561197978024377,4,1
76561197978096694,0,1
76561197978409306,3,1
76561197978421438,8,0
76561197978628035,1,0
76561197978703788,1,0
76561197979007418,1,0
76561197979046612,6,1
76561197979086508,2,2
76561197979522870,0,1
76561197979552509,0,1
76561197979731785,3,0
76561197979745311,1,0
76561197979796744,4,0
76561197980184475,4,0
76561197980188639,1,0
76561197980311109,6,0
76561197980349491,1,0
76561197980386478,1,0
76561197980614542,1,0
76561197980617560,1,0
76561197980634828,0,1
76561197980641293,2,0
76561197980765740,1,0
76561197980811624,1,1
76561197980834629,1,0
76561197980886661,5,1
76561197981203305,1,4
76561197981277493,1,0
76561197981374310,2,0
76561197981381850,1,0
76561197981425218,2,1
76561197981448997,0,1
76561197981571612,8,0
76561197981780630,1,0
76561197981957582,0,1
76561197981959164,4,0
76561197982079779,1,0
76561197982124018,1,0
76561197982203533,2,0
76561197982363029,0,1
76561197982422966,1,0
76561197982437091,1,0
76561197982474515,0,1
76561197982587329,1,0
76561197982587661,5,3
76561197982665201,3,0
76561197982685987,6,2
76561197982720689,1,0
76561197983046427,2,0
76561197983127652,1,1
76561197983254661,0,2
76561197983633274,1,0
76561197983697443,7,1
76561197983745201,5,1
76561197983875214,2,1
76561197984211461,2,0
76561197984271449,1,0
76561197984327467,4,0
76561197984390941,4,0
76561197985031488,1,0
76561197985191301,5,2
76561197985258383,1,0
76561197985389455,4,0
76561197985512782,4,4
76561197985634755,1,0
76561197985644714,1,1
76561197985797191,2,0
76561197986144369,0,2
76561197986188587,1,0
76561197986214624,2,0
76561197986468427,1,0
76561197986529825,1,0
76561197986552181,2,0
76561197986617937,1,0
76561197986678875,2,1
76561197986709258,3,1
76561197986717785,2,2
76561197986891235,1,0
76561197986948702,1,0
76561197986964063,1,0
76561197987307155,1,0
76561197987394736,3,3
76561197987442366,1,0
76561197987482998,2,1
76561197987617385,1,0
76561197987668797,0,1
76561197987677576,1,0
76561197987786431,1,0
76561197988062821,1,0
76561197988318026,2,0
76561197988367411,0,1
76561197988397124,1,0
76561197988486708,1,0
76561197988647146,1,0
76561197988762135,2,0
76561197988785314,2,0
76561197988814610,1,0
76561197988832553,1,0
76561197988840650,1,1
76561197988863895,1,1
76561197988934555,4,0
76561197989039660,1,0
76561197989053217,1,0
76561197989615671,1,0
76561197989634859,2,0
76561197989689547,0,1
76561197989691928,1,0
76561197989699885,1,0
76561197989723505,1,3
76561197989758447,1,4
76561197989869899,1,0
76561197989883424,1,1
76561197989894094,1,0
76561197990027470,2,0
76561197990029377,1,1
76561197990045164,2,0
76561197990113354,1,0
76561197990117063,0,1
765611979902442O1,4,0
76561197990267442,1,0
76561197990498142,4,1
76561197990505840,1,0
76561197990557433,1,0
76561197990577342,2,0
76561197990596976,1,0
76561197990772718,1,0
76561197990782367,1,1
76561197990890441,1,0
76561197990895276,0,2
76561197990926687,1,0
76561197990972548,0,1
76561197990979375,2,0
76561197990997704,0,2
76561197991249235,5,1
76561197991329759,6,0
76561197991380208,1,0
76561197991548126,0,1
76561197991633595,5,0
76561197991723203,1,1
76561197991787618,0,1
76561197991827492,1,0
76561197991856503,1,1
76561197991872030,2,1
76561197991899190,2,0
76561197991992793,0,1
76561197992152968,1,0
76561197992227006,2,2
76561197992272514,1,0
76561197992466945,1,0
76561197992498182,1,0
76561197992622789,1,0
76561197992643903,1,0
76561197992670186,2,0
76561197992681922,5,2
76561197992709045,1,0
76561197992755277,6,0
76561197992809369,1,0
76561197992870209,2,0
76561197992887038,1,0
76561197992910116,6,0
76561197993052158,1,0
76561197993077385,1,0
76561197993114886,1,1
76561197993160547,1,0
76561197993210440,1,0
76561197993255329,0,3
76561197993274093,5,0
76561197993412979,1,0
76561197993494010,1,0
76561197993494697,1,0
76561197993538123,1,0
76561197993557726,1,0
76561197993617677,3,0
76561197993654066,1,0
76561197993683483,0,1
76561197993703392,1,0
76561197993705839,1,0
76561197993725260,1,1
76561197993759720,4,0
76561197993819764,1,0
76561197993847898,2,0
76561197993872196,1,0
76561197993896367,2,0
76561197994033447,1,0
76561197994101386,3,1
76561197994108307,1,0
76561197994196557,1,0
76561197994242039,1,0
76561197994320177,1,0
76561197994404273,1,0
76561197994404698,8,0
76561197994405541,2,0
76561197994407560,1,0
76561197994493402,3,0
76561197994573217,0,1
76561197994640892,5,1
76561197994690938,3,0
76561197994733323,1,0
76561197994830976,3,3
76561197994831363,2,0
76561197994920291,1,0
76561197994946704,0,2
76561197994950912,1,0
76561197994969639,1,0
76561197994995559,2,0
76561197995042824,1,0
76561197995087932,0,1
76561197995098683,2,0
76561197995108212,1,0
76561197995146150,1,1
76561197995146832,1,0
76561197995163667,1,0
76561197995165843,1,0
76561197995192202,2,0
76561197995224155,1,0
76561197995247965,1,0
76561197995284337,1,0
76561197995322437,1,0
76561197995338574,5,0
76561197995418864,10,0
76561197995483380,1,0
76561197995484188,1,0
76561197995775619,1,0
76561197995905411,1,0
76561197995939652,4,0
76561197995958796,0,1
76561197996092338,1,0
76561197996156672,7,0
76561197996157332,0,1
76561197996182296,2,0
76561197996190797,1,0
76561197996262501,3,0
76561197996328974,0,2
76561197996424549,1,0
76561197996426485,2,0
76561197996426598,3,0
76561197996458179,1,0
76561197996524718,3,0
76561197996569986,1,0
76561197996571086,0,1
76561197996576526,1,0
76561197996722445,0,1
76561197996741396,1,0
76561197996744185,6,4
76561197996768219,0,1
76561197996802983,1,0
76561197996932711,1,0
76561197996935989,2,0
76561197996957782,1,1
76561197996992703,2,0
76561197997056013,0,1
76561197997129113,3,1
76561197997197174,5,2
76561197997215324,1,0
76561197997238293,3,1
76561197997633623,6,0
76561197997698322,1,0
76561197997860947,1,0
76561197997877709,2,0
76561197998014300,1,0
76561197998052647,1,0
76561197998095312,2,0
76561197998189696,1,0
76561197998198707,1,0
76561197998276287,0,1
76561197998355213,1,1
76561197998355551,1,0
76561197998356183,1,0
76561197998402311,1,0
76561197998469677,1,0
76561197998533829,1,0
76561197998557042,1,0
76561197998568725,3,0
76561197998655584,0,1
76561197998681137,3,0
76561197998718499,1,0
76561197998761331,1,0
76561197998812220,1,0
76561197998873955,9,0
76561197998876897,1,0
76561197998915965,1,0
76561197998939809,1,0
76561197998960814,1,1
76561197999005150,1,0
76561197999054744,1,0
76561197999075044,2,0
76561197999136707,1,0
76561197999140519,1,1
76561197999174091,0,1
76561197999260941,1,1
76561197999327663,3,0
76561197999370899,1,0
76561197999426881,0,3
76561197999483873,3,6
76561197999539608,2,0
76561197999566657,1,0
76561197999613236,4,0
76561197999638720,1,0
76561197999673239,2,0
76561197999719746,1,1
76561197999753609,1,0
76561197999775723,1,0
76561197999882687,1,0
76561197999886086,2,0
76561197999888744,1,0
76561197999950218,0,1
76561198000000222,4,0
76561198000121873,1,0
76561198000167222,1,0
76561198000550272,1,0
76561198000595834,0,1
76561198000614468,2,0
76561198000627924,1,0
76561198000628126,1,0
76561198000691867,1,0
76561198000694266,0,2
76561198000723558,1,0
76561198000733744,3,0
76561198000791529,6,0
76561198000889832,5,0
76561198000966319,2,0
76561198001078133,1,0
76561198001115538,1,0
76561198001160024,3,1
76561198001296435,5,0
76561198001346295,1,0
76561198001398677,1,0
76561198001508595,1,0
76561198001593974,3,0
76561198001630399,0,1
76561198001654709,2,0
76561198001658920,3,1
76561198001688490,5,4
76561198001699914,1,0
76561198001743414,1,0
76561198001768083,1,0
76561198001836842,1,0
76561198001898634,1,0
76561198001917486,0,1
76561198001963605,1,0
76561198002127153,7,0
76561198002151678,4,1
76561198002170343,1,0
76561198002196490,1,0
76561198002210067,1,0
76561198002212023,0,1
76561198002311337,0,3
76561198002469107,1,0
76561198002513165,1,0
76561198002527794,2,1
76561198002610796,2,1
76561198002933766,1,0
76561198002996759,2,0
76561198003056556,1,1
76561198003160177,1,0
76561198003189312,1,0
76561198003480679,4,0
76561198003546877,5,0
76561198003593278,2,2
76561198003607025,0,1
76561198003702006,1,0
76561198003704820,2,1
76561198003735361,1,0
76561198003798869,2,0
76561198003811382,2,1
76561198003855855,2,0
76561198003900936,1,1
76561198004011791,5,1
76561198004054009,1,0
76561198004058147,1,0
76561198004163464,1,0
76561198004166916,1,0
76561198004173845,1,0
76561198004200104,1,0
76561198004203858,7,0
76561198004239988,5,1
76561198004245030,0,1
76561198004280826,1,0
76561198004448633,1,0
76561198004622964,2,0
76561198004624665,0,1
76561198004638606,6,0
76561198004669632,3,6
76561198004791440,1,0
76561198004853547,2,0
76561198004901938,1,0
76561198004924076,3,0
76561198004924924,1,0
76561198005066500,1,0
76561198005263965,0,1
76561198005307778,1,0
76561198005343510,1,0
76561198005477736,5,0
76561198005517355,1,0
76561198005551923,1,0
76561198005576563,4,0
76561198005594856,1,0
76561198005615192,1,0
76561198005698927,1,0
76561198005708745,3,0
76561198005778772,1,0
76561198005781441,1,0
76561198005820284,1,0
76561198005821848,9,1
76561198005918869,1,0
76561198005999162,3,1
76561198006016224,1,0
76561198006111583,1,0
76561198006153077,1,0
76561198006158702,0,1
76561198006225175,3,0
76561198006310647,3,0
76561198006421406,1,0
76561198006487501,1,0
76561198006491086,5,2
76561198006527232,0,1
76561198006532480,1,0
76561198006537147,2,0
76561198006537919,1,0
76561198006550034,0,1
76561198006560154,2,0
76561198006606435,1,0
76561198006679831,0,1
76561198006889139,2,0
76561198006896411,2,6
76561198006980747,1,0
76561198006994190,1,0
76561198007037255,1,0
76561198007041072,3,1
76561198007070577,1,0
76561198007161112,1,0
76561198007165405,0,2
76561198007166637,1,0
76561198007208545,0,1
76561198007217051,3,0
76561198007309128,2,1
76561198007317042,5,0
76561198007338267,3,0
76561198007342405,2,1
76561198007404119,3,0
76561198007488623,1,0
76561198007539695,0,2
76561198007570632,1,0
76561198007571248,2,0
76561198007573338,1,0
76561198007575596,2,0
76561198007584361,1,0
76561198007587759,1,0
76561198007758543,1,0
76561198007767871,1,0
76561198007799026,10,0
76561198007860684,1,0
76561198007861522,1,0
76561198007874509,1,0
76561198007911436,1,0
76561198007914001,1,0
76561198007988877,7,1
76561198007988939,1,0
76561198007991437,1,0
76561198008021472,2,0
76561198008026450,1,0
76561198008026969,1,0
76561198008063702,1,0
76561198008068264,8,1
76561198008101478,1,1
76561198008105343,1,0
76561198008111776,1,1
76561198008168334,0,1
76561198008211473,3,0
76561198008263039,0,1
76561198008267403,1,0
76561198008302183,1,0
76561198008302763,2,1
76561198008352835,2,1
76561198008392437,1,0
76561198008426280,3,0
76561198008532637,3,0
76561198008551473,2,0
76561198008721949,1,0
76561198008725628,1,0
76561198008727561,1,0
76561198008758884,0,1
76561198008760866,0,2
76561198008793871,1,0
76561198008825050,5,0
76561198008827809,3,0
76561198008853610,1,0
76561198008895770,3,2
76561198008896152,1,0
76561198008897631,2,0
76561198008901482,1,0
76561198008967901,1,0
76561198008972209,1,0
76561198009000573,0,1
76561198009001563,1,0
76561198009002611,0,1
76561198009005804,1,0
76561198009026821,1,0
76561198009043396,1,0
76561198009053218,1,0
76561198009133922,2,1
76561198009171141,1,0
76561198009171558,1,0
76561198009177886,1,0
76561198009198597,1,0
76561198009225993,2,0
76561198009239788,1,0
76561198009389816,1,0
76561198009401635,0,1
76561198009498722,0,1
76561198009553196,1,0
76561198009636321,0,1
76561198009649906,1,0
76561198009674974,1,0
76561198009729086,1,0
76561198009729872,1,0
76561198009846599,1,0
76561198009855249,1,0
76561198009876209,0,1
76561198009887832,1,0
76561198009892332,1,0
76561198009992783,1,1
76561198010038495,1,0
76561198010211852,1,0
76561198010280507,1,0
76561198010284350,0,1
76561198010288624,3,1
76561198010336981,1,0
76561198010339484,3,0
76561198010391123,4,2
76561198010398875,1,0
76561198010399847,2,0
76561198010433036,1,0
76561198010436866,0,4
76561198010443610,4,0
76561198010465186,1,0
76561198010579748,1,0
76561198010616979,1,0
76561198010653835,4,3
76561198010674657,1,1
76561198010698336,3,5
76561198010797312,1,0
76561198010803538,1,0
76561198010829979,1,0
76561198010871424,2,0
76561198010900889,5,2
76561198011004336,7,3
76561198011068007,1,0
76561198011128888,1,0
76561198011136920,1,0
76561198011139135,1,0
76561198011144513,1,0
76561198011214122,1,0
76561198011218089,1,0
76561198011244140,1,0
76561198011303077,0,2
76561198011303167,3,3
76561198011307447,1,0
76561198011312704,1,0
76561198011369854,1,0
76561198011372068,2,1
76561198011493875,4,1
76561198011518463,0,1
76561198011526765,1,0
76561198011579146,1,0
76561198011652553,1,0
76561198011714432,0,1
76561198011735059,3,0
76561198011740444,2,0
76561198011740985,0,1
76561198011742990,1,0
76561198011766768,1,0
76561198011773496,0,1
76561198011806334,1,0
76561198011832401,2,0
76561198011923340,6,1
76561198012014419,1,0
76561198012040171,1,0
76561198012047608,1,0
76561198012064862,3,1
76561198012074748,1,0
76561198012074959,1,0
76561198012110724,1,0
76561198012163816,1,0
76561198012189478,1,0
76561198012189830,4,0
76561198012252740,2,0
76561198012258242,1,0
76561198012334657,1,0
76561198012397577,3,1
76561198012424984,0,1
76561198012455565,2,0
76561198012514677,1,0
76561198012546232,1,0
76561198012572074,3,0
76561198012607950,3,0
76561198012630014,3,0
76561198012657818,1,0
76561198012716020,6,0
76561198012741239,1,0
76561198012798475,1,0
76561198012909706,1,0
76561198012943559,2,2
76561198013013096,1,0
76561198013059927,3,0
76561198013149300,7,1
76561198013199787,1,0
76561198013206795,1,0
76561198013227556,1,0
76561198013255974,1,0
76561198013259049,2,0
76561198013261893,1,0
76561198013296434,1,0
76561198013427907,1,0
76561198013428024,1,0
76561198013432172,1,0
